Store Number,Name,Address,City,State,Zip,Phone,Email,Website,Mon Open,Mon Close,Tue Open,Tue Close,Wed Open,Wed Close,Thu Open,Thu Close,Fri Open,Fri Close,Sat Open,Sat Close,Sun Open,Sun Close,Open 7 Days,Services,Brands,Products,Signature Store,Featured Store,Specialty Store,Latitude,Longitude,URL
10000003,EASOM HARDWARE COMPANY,17544 HIGHWAY 21 S,SEBASTOPOL,MS,39359,(601) 625-8551,,,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:30 PM,07:00 AM,02:00 PM,,,False,,"benjamin_moore, corotech","ben, ben_int, element_guard",False,False,False,32.57351,-89.33435,https://www.benjaminmoore.com/en-us/store-locator/10000003/easom-hardware-company
10000013,VERMILLION ACE HARDWARE,812 COTTAGE AVE,VERMILLION,SD,57069-1122,(605) 624-3195,,,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,True,"ismor, open_7_days","benjamin_moore, inslx","aura, aura_ext, aura_int, ben, ben_int, element_guard, regal, regal_int",False,False,False,42.788024,-96.932331,https://www.benjaminmoore.com/en-us/store-locator/10000013/vermillion-ace-hardware
10000015,ABOFF'S PAINTS,1510 OLD COUNTRY RD,PLAINVIEW,NY,11803-5062,(516) 777-7588,PLAINVIEW@ABOFFS.COM ;PLAINVIEW@ABOFFS.COM ;EKUBY@ABOFFS.COM,ABOFFS.COM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,08:00 AM,05:00 PM,,,False,"in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,40.780036,-73.450942,https://www.benjaminmoore.com/en-us/store-locator/10000015/aboffs-paints
10000022,CORNING BUILDING SUPPLY,346 PARK AVE,CORNING,NY,14830-3436,(607) 936-9921,,,09:00 AM,05:00 PM,,,,,,,,,,,,,False,,"benjamin_moore, corotech",,False,False,False,42.131012,-77.036107,https://www.benjaminmoore.com/en-us/store-locator/10000022/corning-building-supply
10000030,ACE HARDWARE,1302 HIGHWAY 47,WOODRUFF,WI,54568-9488,(715) 356-3555,,,06:30 AM,07:00 PM,06:30 AM,07:00 PM,06:30 AM,07:00 PM,06:30 AM,07:00 PM,06:30 AM,07:00 PM,06:30 AM,06:00 PM,08:00 AM,05:00 PM,True,"ismor, open_7_days","benjamin_moore, corotech, inslx","advance, aura, aura_ext, ben, ben_int, element_guard, regal, regal_int",False,False,False,45.895444,-89.693062,https://www.benjaminmoore.com/en-us/store-locator/10000030/ace-hardware
10000033,SIMPSON ACE HARDWARE,40 W WESMARK BLVD,SUMTER,SC,29150-1956,(803) 773-3397,,WWW.SIMPSONHARDWAREINC.COM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,08:00 AM,06:00 PM,,,False,ismor,"benjamin_moore, inslx","advance, aura, aura_int, ben, ben_int, element_guard, regal, regal_int",False,False,False,33.950547,-80.37873,https://www.benjaminmoore.com/en-us/store-locator/10000033/simpson-ace-hardware
10000035,STAR CITY PAINT & DECORATING,923 E FRANKLIN ST,CENTERVILLE,OH,45459-5650,(937) 435-6997,STARCITY@ZOOMTOWN.COM ;STARCITY@ZOOMTOWN.COM ;STARCITYPAINT@GMAIL.COM,WWW.STARCITYPAINT.COM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,09:00 AM,01:00 PM,00:00 AM,00:00 PM,False,"in_store_decorator, in_store_pickup","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,39.628961,-84.140854,https://www.benjaminmoore.com/en-us/store-locator/10000035/star-city-paint-decorating
10000038,FARM & FLEET OF BARABOO INC.,1100 SOUTH BLVD,BARABOO,WI,53913-2789,(608) 356-7736,,FARMANDFLEET.COM,08:30 AM,09:00 PM,08:30 AM,09:00 PM,08:30 AM,09:00 PM,08:30 AM,09:00 PM,08:30 AM,09:00 PM,08:30 AM,08:00 PM,09:00 AM,06:00 PM,True,"ismor, open_7_days",benjamin_moore,"advance, aura, aura_bns, aura_int, ben, ben_int, element_guard, regal, regal_int, wb_ceiling",False,False,False,43.462015,-89.760876,https://www.benjaminmoore.com/en-us/store-locator/10000038/farm-fleet-of-baraboo-inc
10000043,WESTLAKE ACE HDWE-KC WESTPORT,1000 WESTPORT RD,KANSAS CITY,MO,64111-4040,(816) 756-2445,,,07:30 AM,09:00 PM,07:30 AM,09:00 PM,07:30 AM,09:00 PM,07:30 AM,09:00 PM,07:30 AM,09:00 PM,07:30 AM,09:00 PM,09:00 AM,06:00 PM,True,"ismor, open_7_days","benjamin_moore, inslx","advance, ben, ben_int, element_guard, regal, regal_int",False,False,False,39.049811,-94.598581,https://www.benjaminmoore.com/en-us/store-locator/10000043/westlake-ace-hdwekc-westport
10000044,"JC LICHT, LLC",1340 MEADOW RD,NORTHBROOK,IL,60062-3653,(847) 272-2600,STORE.1263@JCLICHT.COM ;STORE.1263@JCLICHT.COM,JCLICHT.COM,06:00 AM,06:00 PM,06:00 AM,06:00 PM,06:00 AM,06:00 PM,06:00 AM,06:00 PM,06:00 AM,06:00 PM,07:00 AM,05:00 PM,09:00 AM,04:00 PM,True,"in_store_decorator, in_store_pickup, ismor, open_7_days","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,42.128656,-87.827785,https://www.benjaminmoore.com/en-us/store-locator/10000044/jc-licht-llc
