Store Number,Store Name,City,State,Phone,Email,Owner/Principal,Registered Agent,Principal Address,Business Entity Name,Source,Status
10008269,AAA PAINT & SUPPLY,TEMPE,AZ,(480) 307-8552,JESSICA@AAAPAINTSUPPLY.COM ;ANDY@AAAPAINTSUPPLY.COM ;ANDY@AAAPAINTSUPPLY.COM ;JESSICA@AAAPAINTSUPPLY.COM ;RALI3553@ICLOUD.COM ;SALES@AAAPAINTSUPPLY.COM,,,,,,needs_manual
10020589,ARIZONA PAINT SUPPLY,SCOTTSDALE,AZ,(480) 757-4444,LEE@AZPAINTSUPPLY.COM ;RAINTREE@AZPAINTSUPPLY.COM ;DAVID@AZPAINTSUPPLY.COM,,,,,pending,needs_manual
10022736,FINISHER'S WAREHOUSE,PHOENIX,AZ,(602) 824-9255,,,,,,pending,needs_manual
10002693,HEATH'S PAINT CENTER,FLAGSTAFF,AZ,(928) 779-0355,,,,,,,needs_manual
10006268,JPS PAINT CENTER,COTTONWOOD,AZ,(928) 634-3880,KENKAMPS@JPSPAINTCENTER.COM ;ACCOUNTING@JPSPAINTCENTER.COM,,,,,,needs_manual
10011638,LG PAINTSTORE,YUMA,AZ,(928) 782-3129,LALO@LGPAINTSTORE.COM ;SALES@LGPAINTSTORE.COM ;SALES@LGPAINTSTORE.COM,,,,,,needs_manual
10016257,LOWES FAMILY CENTER #22,GANADO,AZ,(928) 255-5710,,,,,,,needs_manual
10020840,NEUMANN PAINT & SUPPLY,PAYSON,AZ,(928) 472-9054,,,,,,pending,needs_manual
10011615,RIVER PAINT & SUPPLY,LAKE HAVASU CITY,AZ,(928) 453-7100,,,,,,,needs_manual
10015737,SIX POINTS HARDWARE,PHOENIX,AZ,(602) 252-6157,,,,,,,needs_manual
10005929,"THE COLOR WHEEL, LLC",MESA,AZ,(480) 969-7791,COLORWHEELMESA@HOTMAIL.COM,,,,,,needs_manual
10021665,TONTO BASIN MARKET,TONTO BASIN,AZ,(928) 479-2000,,,,,,pending,needs_manual
10020564,TUCSON ESTATES HARDWARE,TUCSON,AZ,(520) 578-3989,,,,,,pending,needs_manual
10015078,VERDE VALLEY HARDWARE,COTTONWOOD,AZ,(928) 634-7868,,,,,,,needs_manual
10014984,VILLAGE HARDWARE,SEDONA,AZ,(928) 284-1177,,,,,,,needs_manual
10022779,YUMA PAINT & EPOXY,YUMA,AZ,(928) 247-9191,,,,,,pending,needs_manual
10016432,"AGFINITY, INC.",BRIGHTON,CO,(614) 406-1186,,,,,,,needs_manual
10017578,AGUILAR MERCANTILE,AGUILAR,CO,(814) 405-8001,,,,,,pending,needs_manual
10012449,AJAX SUPPLY LLC,SNOWMASS VILLAGE,CO,(970) 429-4329,,,,,,,needs_manual
10006980,ARKANSAS VALLEY LUMBER,ROCKY FORD,CO,(719) 254-7451,,,,,,,needs_manual
10014028,BIG TOOL BOX,CENTENNIAL,CO,(303) 779-8822,,,,,,,needs_manual
10015785,BIG TOOL BOX,PARKER,CO,(303) 779-8822,,,,,,,needs_manual
